급행명,급행구성순서,역명
용산-동인천(급행),1,용산
용산-동인천(급행),2,노량진
용산-동인천(급행),3,대방
용산-동인천(급행),4,신길
용산-동인천(급행),5,영등포
용산-동인천(급행),6,신도림
용산-동인천(급행),7,구로
용산-동인천(급행),8,개봉
용산-동인천(급행),9,역곡
용산-동인천(급행),10,부천
용산-동인천(급행),11,송내
용산-동인천(급행),12,부평
용산-동인천(급행),13,동암
용산-동인천(급행),14,주안
용산-동인천(급행),15,제물포
용산-동인천(급행),16,동인천
당고개-오이도,1,불암산(당고개)
당고개-오이도,2,상계
당고개-오이도,3,노원
당고개-오이도,4,창동
당고개-오이도,5,쌍문
당고개-오이도,6,수유(강북구청)
당고개-오이도,7,미아
당고개-오이도,8,미아사거리
당고개-오이도,9,길음
당고개-오이도,10,성신여대입구(돈암)
당고개-오이도,11,한성대입구(삼선교)
당고개-오이도,12,혜화
당고개-오이도,13,동대문
당고개-오이도,14,동대문역사문화공원
당고개-오이도,15,충무로
당고개-오이도,16,명동
당고개-오이도,17,회현(남대문시장)
당고개-오이도,18,서울역
당고개-오이도,19,숙대입구(갈월)
당고개-오이도,20,삼각지
당고개-오이도,21,신용산
당고개-오이도,22,이촌(국립중앙박물관)
당고개-오이도,23,동작(현충원)
당고개-오이도,24,총신대입구(이수)
당고개-오이도,25,사당
당고개-오이도,26,남태령
당고개-오이도,27,선바위
당고개-오이도,28,경마공원
당고개-오이도,29,대공원
당고개-오이도,30,과천
당고개-오이도,31,정부과천청사
당고개-오이도,32,인덕원
당고개-오이도,33,평촌
당고개-오이도,34,범계
당고개-오이도,35,금정
당고개-오이도,36,산본
당고개-오이도,37,상록수
당고개-오이도,38,중앙
당고개-오이도,39,안산
당고개-오이도,40,신길온천
당고개-오이도,41,정왕
당고개-오이도,42,오이도
종합운동장-김포공항,1,종합운동장
종합운동장-김포공항,2,봉은사
종합운동장-김포공항,3,선정릉
종합운동장-김포공항,4,신논현
종합운동장-김포공항,5,고속터미널
종합운동장-김포공항,6,동작(현충원)
종합운동장-김포공항,7,노량진
종합운동장-김포공항,8,여의도
종합운동장-김포공항,9,당산
종합운동장-김포공항,10,염창
종합운동장-김포공항,11,가양
종합운동장-김포공항,12,김포공항
서울역-인천공항2터미널,1,서울역
서울역-인천공항2터미널,2,인천공항1터미널
서울역-인천공항2터미널,3,인천공항2터미널
왕십리-수원,1,왕십리
왕십리-수원,2,서울숲
왕십리-수원,3,압구정로데오
왕십리-수원,4,강남구청
왕십리-수원,5,선정릉(한국과학창의재단)
왕십리-수원,6,선릉
왕십리-수원,7,한티
왕십리-수원,8,도곡
왕십리-수원,9,구룡
왕십리-수원,10,개포동
왕십리-수원,11,대모산입구
왕십리-수원,12,수서
왕십리-수원,13,복정(동서울대학)
왕십리-수원,14,가천대
왕십리-수원,15,태평
왕십리-수원,16,모란
왕십리-수원,17,야탑
왕십리-수원,18,이매(성남아트센터)
왕십리-수원,19,서현
왕십리-수원,20,수내(한국잡월드)
왕십리-수원,21,정자
왕십리-수원,22,미금(분당서울대병원)
왕십리-수원,23,오리
왕십리-수원,24,죽전(단국대)
왕십리-수원,25,기흥(백남준아트센터)
왕십리-수원,26,망포
왕십리-수원,27,수원시청(경기도문화의전당)
왕십리-수원,28,수원
청량리-춘천,1,청량리
청량리-춘천,2,회기
청량리-춘천,3,상봉
청량리-춘천,4,퇴계원
청량리-춘천,5,사릉
청량리-춘천,6,평내호평
청량리-춘천,7,마석
청량리-춘천,8,청평
청량리-춘천,9,가평(자라섬.남이섬)
청량리-춘천,10,강촌
청량리-춘천,11,남춘천(강원대)
청량리-춘천,12,춘천(한림대)
문산-지평,1,문산
문산-지평,2,파주(두원대학)
문산-지평,3,월롱(서영대학교)
문산-지평,4,금촌
문산-지평,5,금릉
문산-지평,6,운정
문산-지평,7,야당
문산-지평,8,탄현
문산-지평,9,일산
문산-지평,10,풍산
문산-지평,11,백마
문산-지평,12,곡산
문산-지평,13,대곡
문산-지평,14,능곡
문산-지평,15,행신
문산-지평,16,강매
문산-지평,17,한국항공대
문산-지평,18,수색
문산-지평,19,디지털미디어시티
문산-지평,20,가좌
문산-지평,21,홍대입구
문산-지평,22,서강대
문산-지평,23,공덕
문산-지평,24,효창공원앞
문산-지평,25,용산
문산-지평,26,이촌
문산-지평,27,서빙고
문산-지평,28,한남
문산-지평,29,옥수
문산-지평,30,응봉
문산-지평,31,왕십리
문산-지평,32,청량리
문산-지평,33,회기
문산-지평,34,중랑
문산-지평,35,상봉
문산-지평,36,망우
문산-지평,37,양원(서울시북부병원)
문산-지평,38,구리
문산-지평,39,도농
문산-지평,40,양정
문산-지평,41,덕소
문산-지평,42,도심
문산-지평,43,팔당
문산-지평,44,운길산
문산-지평,45,양수
문산-지평,46,신원
문산-지평,47,국수
문산-지평,48,아신(아세아연합신학대)
문산-지평,49,오빈
문산-지평,50,양평
문산-지평,51,원덕(추읍산)
문산-지평,52,용문
문산-지평,53,지평
용산-신창,1,용산
용산-신창,2,노량진
용산-신창,3,대방
용산-신창,4,신길
용산-신창,5,영등포
용산-신창,6,신도림
용산-신창,7,구로
용산-신창,8,가산디지털단지
용산-신창,9,안양
용산-신창,10,수원
용산-신창,11,병점
용산-신창,12,오산
용산-신창,13,서정리
용산-신창,14,평택
용산-신창,15,성환
용산-신창,16,두정
용산-신창,17,천안
용산-신창,18,봉명
용산-신창,19,쌍용(나사렛대)
용산-신창,20,아산
용산-신창,21,배방
용산-신창,22,온양온천
용산-신창,23,신창(순천향대)
문산-서울역,1,문산
문산-서울역,2,금촌
문산-서울역,3,운정
문산-서울역,4,일산
문산-서울역,5,백마
문산-서울역,6,대곡
문산-서울역,7,행신
문산-서울역,8,디지털미디어시티
문산-서울역,9,가좌
문산-서울역,10,신촌
문산-서울역,11,서울역
서울역-신창,1,서울역
서울역-신창,2,영등포
서울역-신창,3,금천구청
서울역-신창,4,안양
서울역-신창,5,군포
서울역-신창,6,의왕
서울역-신창,7,성균관대
서울역-신창,8,수원
서울역-신창,9,병점
서울역-신창,10,오산
서울역-신창,11,서정리
서울역-신창,12,평택
서울역-신창,13,성환
서울역-신창,14,두정
서울역-신창,15,천안
서울역-신창,16,봉명
서울역-신창,17,쌍용(나사렛대)
서울역-신창,18,아산
서울역-신창,19,배방
서울역-신창,20,온양온천
서울역-신창,21,신창(순천향대)
소요산-인천,1,소요산
소요산-인천,2,동두천
소요산-인천,3,동두천중앙
소요산-인천,4,덕정
소요산-인천,5,양주
소요산-인천,6,의정부
소요산-인천,7,회룡
소요산-인천,8,도봉산
소요산-인천,9,창동
소요산-인천,10,광운대
소요산-인천,11,석계
소요산-인천,12,신이문
소요산-인천,13,외대앞
소요산-인천,14,회기
소요산-인천,15,청량리(서울시립대입구)
소요산-인천,16,제기동
소요산-인천,17,신설동
소요산-인천,18,동묘앞
소요산-인천,19,동대문
소요산-인천,20,종로5가
소요산-인천,21,종로3가
소요산-인천,22,종각
소요산-인천,23,시청
소요산-인천,24,서울역
소요산-인천,25,남영
소요산-인천,26,용산
소요산-인천,27,노량진
소요산-인천,28,대방
소요산-인천,29,신길
소요산-인천,30,영등포
소요산-인천,31,신도림
소요산-인천,32,구로
소요산-인천,33,구일
소요산-인천,34,개봉
소요산-인천,35,오류동
소요산-인천,36,온수
소요산-인천,37,역곡
소요산-인천,38,소사
소요산-인천,39,부천
소요산-인천,40,중동
소요산-인천,41,송내
소요산-인천,42,부개
소요산-인천,43,부평
소요산-인천,44,백운
소요산-인천,45,동암
소요산-인천,46,간석
소요산-인천,47,주안
소요산-인천,48,도화
소요산-인천,49,제물포
소요산-인천,50,도원
소요산-인천,51,동인천
소요산-인천,52,인천
용산-동인천(특급),1,용산
용산-동인천(특급),2,노량진
용산-동인천(특급),3,신도림
용산-동인천(특급),4,구로
용산-동인천(특급),5,부천
용산-동인천(특급),6,송내
용산-동인천(특급),7,부평
용산-동인천(특급),8,주안
용산-동인천(특급),9,동인천
